run,dataset,wrap,preproc,filter_type,wi,wf,ordFinal,ordUsed,N,hop,harm,harm_max,harm_ratio,MAE,RMSE,Corr,Score,Nuse,key
79,POLARH3 x phases_raw,0,none,firpm,0.6,3.5,2,64,32,8,1,3,0.2,18.1831285172061,18.6732412645403,0.0119123653149579,-1.51968543603002,2894,"wrap=0 | pre=none | flt=firpm(0.6-3.5Hz,ord2,used64) | N=32 | hop=8 | harm=1(max3,r0.2)"
80,POLARH3 x phases_raw,0,none,firpm,0.6,3.5,2,64,32,8,1,3,0.5,17.2487170755169,17.8473075442664,-0.0363538551205572,-1.49369996037195,2894,"wrap=0 | pre=none | flt=firpm(0.6-3.5Hz,ord2,used64) | N=32 | hop=8 | harm=1(max3,r0.5)"
81,POLARH3 x phases_raw,0,none,firpm,0.6,3.5,2,64,64,32,0,3,0.2,50.9146765890576,51.3153719445973,-0.0578613112638743,-4.31410753887,2878,"wrap=0 | pre=none | flt=firpm(0.6-3.5Hz,ord2,used64) | N=64 | hop=32 | harm=0(max3,r0.2)"
82,POLARH3 x phases_raw,0,none,firpm,0.6,3.5,2,64,64,32,0,3,0.5,50.9146765890576,51.3153719445973,-0.0578613112638743,-4.31410753887,2878,"wrap=0 | pre=none | flt=firpm(0.6-3.5Hz,ord2,used64) | N=64 | hop=32 | harm=0(max3,r0.5)"
83,POLARH3 x phases_raw,0,none,firpm,0.6,3.5,2,64,64,32,1,3,0.2,53.4687033921569,53.6577376128102,-0.0972544910025415,-4.55928091437073,2878,"wrap=0 | pre=none | flt=firpm(0.6-3.5Hz,ord2,used64) | N=64 | hop=32 | harm=1(max3,r0.2)"
84,POLARH3 x phases_raw,0,none,firpm,0.6,3.5,2,64,64,32,1,3,0.5,52.579833749722,52.8408647290951,-0.0219858814696914,-4.4123397265923,2878,"wrap=0 | pre=none | flt=firpm(0.6-3.5Hz,ord2,used64) | N=64 | hop=32 | harm=1(max3,r0.5)"
85,POLARH3 x phases_raw,0,none,firpm,0.6,3.5,2,64,64,16,0,3,0.2,50.4651737028455,50.8253197544911,-0.0583760939525688,-4.27581210424455,2878,"wrap=0 | pre=none | flt=firpm(0.6-3.5Hz,ord2,used64) | N=64 | hop=16 | harm=0(max3,r0.2)"
86,POLARH3 x phases_raw,0,none,firpm,0.6,3.5,2,64,64,16,0,3,0.5,50.4651737028455,50.8253197544911,-0.0583760939525688,-4.27581210424455,2878,"wrap=0 | pre=none | flt=firpm(0.6-3.5Hz,ord2,used64) | N=64 | hop=16 | harm=0(max3,r0.5)"
87,POLARH3 x phases_raw,0,none,firpm,0.6,3.5,2,64,64,16,1,3,0.2,53.2981187715096,53.4833028796387,-0.212652958475369,-4.66033565970547,2878,"wrap=0 | pre=none | flt=firpm(0.6-3.5Hz,ord2,used64) | N=64 | hop=16 | harm=1(max3,r0.2)"
88,POLARH3 x phases_raw,0,none,firpm,0.6,3.5,2,64,64,16,1,3,0.5,52.0265247605564,52.2621298830409,-0.0377001196488365,-4.38109735377802,2878,"wrap=0 | pre=none | flt=firpm(0.6-3.5Hz,ord2,used64) | N=64 | hop=16 | harm=1(max3,r0.5)"
89,POLARH3 x phases_raw,0,none,firpm,0.6,3.5,2,64,128,64,0,3,0.2,69.6731377248165,69.8825648774649,0.177532155899322,-5.63554355959034,2839,"wrap=0 | pre=none | flt=firpm(0.6-3.5Hz,ord2,used64) | N=128 | hop=64 | harm=0(max3,r0.2)"
90,POLARH3 x phases_raw,0,none,firpm,0.6,3.5,2,64,128,64,0,3,0.5,69.6731377248165,69.8825648774649,0.177532155899322,-5.63554355959034,2839,"wrap=0 | pre=none | flt=firpm(0.6-3.5Hz,ord2,used64) | N=128 | hop=64 | harm=0(max3,r0.5)"
91,POLARH3 x phases_raw,0,none,firpm,0.6,3.5,2,64,128,64,1,3,0.2,71.4042703397482,71.4968513061148,0.119789259531621,-5.83365263432628,2839,"wrap=0 | pre=none | flt=firpm(0.6-3.5Hz,ord2,used64) | N=128 | hop=64 | harm=1(max3,r0.2)"
